category,title,script,translation
편의점,전자레인지 사용,A:이 도시락 여기서 먹고 가도 되나요?|B:네 전자레인지는 저쪽에 있어요.|A:몇 분이나 데워야 할까요?|B:2분 정도 돌리시면 따뜻할 거예요.,Using the microwave
편의점,상비약 구매,A:혹시 타이레놀 있나요?|B:네 카운터 뒤에 있습니다.|A:하나만 주세요 얼마예요?|B:삼천 원입니다 결제 도와드릴게요.,Buying over-the-counter medicine
편의점,택배 접수,A:여기서 택배 보낼 수 있나요?|B:네 저기 기계에서 주소 입력하세요.|A:박스 포장은 다 했는데 테이프 좀 빌려주세요.|B:네 카운터 옆에 있으니 쓰시면 됩니다.,Sending a parcel
카페,디카페인 변경,A:라떼 한 잔 주세요.|B:원두는 어떤 걸로 하시겠어요?|A:혹시 디카페인으로 변경 되나요?|B:네 500원 추가되는데 괜찮으세요?,Changing to decaffeinated coffee
카페,매장 컵 사용,A:따뜻한 아메리카노 주세요.|B:드시고 가시나요?|A:네 먹고 갈게요 머그잔에 주세요.|B:네 자리에 계시면 진동벨로 알려드릴게요.,Asking for a mug
카페,화장실 위치,A:저기요 화장실이 어디에 있나요?|B:나가셔서 오른쪽 건물 2층입니다.|A:비밀번호가 따로 있나요?|B:네 영수증 상단에 적혀 있습니다.,Asking for restroom location
약국,파스 구매,A:발목을 삐었는데 파스 좀 주세요.|B:붙이는 파스로 드릴까요 뿌리는 걸로 드릴까요?|A:붙이는 쿨파스로 주세요.|B:네 이거 아침저녁으로 붙이세요.,Buying a pain relief patch
약국,숙취해소제 구입,A:어제 술을 너무 많이 마셨어요.|B:머리가 아프신가요 속이 안 좋으신가요?|A:속이 너무 울렁거려요.|B:그럼 마시는 약이랑 알약 같이 드릴게요.,Buying hangover cure
약국,마스크 구매,A:황사 마스크 있나요?|B:네 KF94랑 80 있습니다.|A:숨쉬기 편한 걸로 주세요.|B:그럼 80으로 드릴게요 3장에 오천 원입니다.,Buying face masks
도서관,복사기 사용,A:여기서 복사도 할 수 있나요?|B:네 2층 자료실 앞에 복사기 있습니다.|A:복사 카드를 사야 하나요?|B:아니요 신용카드로 바로 결제 가능합니다.,Using a photocopier
