category,text,pronunciation,translation
인사/소개,안녕하세요 반가워요,[안녕하세요 반가워요],Hello nice to meet you
인사/소개,제 이름은 김민수예요,[제 이르믄 김민수예요],My name is Kim Min-su
인사/소개,어느 나라 사람이에요?,[어느 나라 사라미에요?],Where are you from?
인사/소개,저는 미국에서 왔어요,[저는 미구게서 와써요],I came from America
인사/소개,오랜만이에요 잘 지냈어요?,[오랜마니에요 잘 지내써요?],Long time no see how have you been?
인사/소개,요즘 어떻게 지내요?,[요즘 어떠케 지내요?],How are you doing these days?
인사/소개,안녕히 가세요 또 만나요,[안녕히 가세요 또 만나요],Goodbye see you again
인사/소개,안녕히 계세요 먼저 갈게요,[안녕히 계세요 먼저 갈께요],Goodbye I am leaving first
인사/소개,주말 잘 보내세요,[주말 잘 보내세요],Have a good weekend
인사/소개,직업이 무엇입니까?,[지거비 무어심니까?],What is your job?
인사/소개,저는 한국어 학생이에요,[저는 한구거 학쌩이에요],I am a Korean language student
인사/소개,집이 어디예요?,[지비 어디에요?],Where is your house?
인사/소개,저는 서울에 살아요,[저는 서우레 사라요],I live in Seoul
인사/소개,나이가 어떻게 되세요?,[나이가 어떠케 되세요?],How old are you?
인사/소개,만나서 정말 기뻐요,[만나서 정말 기뻐요],I am really glad to meet you
인사/소개,내일 만날 수 있어요?,[내일 만날 수 이써요?],Can we meet tomorrow?
인사/소개,다음에 밥 한번 먹어요,[다으메 밥 한번 머거요],Let's have a meal sometime
인사/소개,도와주셔서 감사합니다,[도와주셔서 감사함니다],Thank you for your help
인사/소개,늦어서 죄송합니다,[느저서 죄송함니다],I am sorry for being late
인사/소개,자기소개 부탁드려요,[자기소개 부탁뜨려요],Please introduce yourself
식당/주문,메뉴판 좀 주세요,[메뉴판 좀 주세요],Please give me the menu
식당/주문,여기 뭐가 맛있어요?,[여기 뭐가 마시써요?],What is delicious here?
식당/주문,비빔밥 하나 주세요,[비빔밥 하나 주세요],Please give me one bibimbap
식당/주문,이건 너무 매워요?,[이건 너무 매워요?],Is this too spicy?
식당/주문,안 맵게 해 주세요,[안 맵께 해 주세요],Please make it less spicy
식당/주문,물은 셀프입니다,[무른 셀프임니다],Water is self-service
식당/주문,반찬 더 주시겠어요?,[반찬 더 주시게써요?],Could you give me more side dishes?
식당/주문,정말 맛있게 먹었어요,[정말 마싣께 머거써요],I really enjoyed the meal
