category,text,pronunciation,tip
경음화,학교,[학꾜],뒤 글자를 강하게 읽으세요
경음화,학생,[학쌩],뒤 글자를 강하게 읽으세요
경음화,식당,[식땅],뒤 글자를 강하게 읽으세요
경음화,국밥,[국빱],뒤 글자를 강하게 읽으세요
경음화,꽃집,[꼳찝],뒤 글자를 강하게 읽으세요
경음화,내과,[내꽈],뒤 글자를 강하게 읽으세요
경음화,문법,[문뻡],뒤 글자를 강하게 읽으세요
경음화,물가,[물까],뒤 글자를 강하게 읽으세요
경음화,발달,[발딸],뒤 글자를 강하게 읽으세요
경음화,밤길,[밤낄],뒤 글자를 강하게 읽으세요
경음화,숙제,[숙쩨],뒤 글자를 강하게 읽으세요
경음화,숟가락,[숟까락],뒤 글자를 강하게 읽으세요
경음화,신고,[신꼬],뒤 글자를 강하게 읽으세요
경음화,안경,[안꼉],뒤 글자를 강하게 읽으세요
경음화,앞집,[압찝],뒤 글자를 강하게 읽으세요
경음화,약국,[약꾹],뒤 글자를 강하게 읽으세요
경음화,열쇠,[열쐬],뒤 글자를 강하게 읽으세요
경음화,옆집,[엽찝],뒤 글자를 강하게 읽으세요
경음화,옷고름,[옫꼬름],뒤 글자를 강하게 읽으세요
경음화,입구,[입꾸],뒤 글자를 강하게 읽으세요
경음화,있다,[읻따],뒤 글자를 강하게 읽으세요
경음화,작다,[작따],뒤 글자를 강하게 읽으세요
경음화,잡지,[잡찌],뒤 글자를 강하게 읽으세요
경음화,점수,[점쑤],뒤 글자를 강하게 읽으세요
경음화,지도,[지또],뒤 글자를 강하게 읽으세요
경음화,책상,[책쌍],뒤 글자를 강하게 읽으세요
경음화,치과,[치꽈],뒤 글자를 강하게 읽으세요
경음화,태권도,[태꿘도],뒤 글자를 강하게 읽으세요
경음화,한국어,[한구거],(예외)이건 연음입니다
경음화,합격,[합껵],뒤 글자를 강하게 읽으세요
구개음화,같이,[가치],ㅌ이 이를 만나 치가 돼요
구개음화,굳이,[구지],ㄷ이 이를 만나 지가 돼요
구개음화,끝이,[끄치],ㅌ이 이를 만나 치가 돼요
구개음화,낱낱이,[난나치],ㅌ이 이를 만나 치가 돼요
구개음화,닫히다,[다치다],ㄷ과 ㅎ이 만나 치가 돼요
구개음화,맏이,[마지],ㄷ이 이를 만나 지가 돼요
구개음화,밭이,[바치],ㅌ이 이를 만나 치가 돼요
구개음화,붙이다,[부치다],ㅌ이 이를 만나 치가 돼요
구개음화,솥이,[소치],ㅌ이 이를 만나 치가 돼요
구개음화,쇠붙이,[쇠부치],ㅌ이 이를 만나 치가 돼요
구개음화,해돋이,[해도지],ㄷ이 이를 만나 지가 돼요
구개음화,핥이다,[할치다],ㅌ이 이를 만나 치가 돼요
구개음화,겉이,[거치],ㅌ이 이를 만나 치가 돼요
구개음화,볕이,[벼치],ㅌ이 이를 만나 치가 돼요
구개음화,훑이다,[훌치다],ㅌ이 이를 만나 치가 돼요
구개음화,갇히다,[가치다],ㄷ과 ㅎ이 만나 치가 돼요
